Name,latitude,longitude,total_weight,total_quantity,user_id,types,skills,locality_key,delivery_preference,priority,area_id,return_weight_used
sannidhi provision store,12.887354369823914,77.54245910793543,50.4,21,9482,,delivery,560061#gubbalala-bengaluru_karnataka,10,14,5082,false
MRK General and Home Needs,12.8975826,77.5485858,130,3,9365,,delivery,560061#vasanthapura-bengaluru_karnataka,10,14,5082,false
Lakshmi Venkateshwar Pravision Store,12.9517966,77.5405422,130,5,6918,,delivery,560026#byatarayanapura-bengaluru_karnataka,10,14,5082,false
S S Mart,12.9162188,77.5443707,131.5,6,7751,,delivery,560085#itamudu-bengaluru_karnataka,10,14,5082,false
DEEPAK PROVISION STORE,12.902633237339163,77.5571458786726,160,8,8442,,delivery,560078#kumaraswamylayout-bengaluru_karnataka,10,14,5082,false
S.L.N Rice Traders,12.9166786,77.5463576,100,4,8406,,delivery,560061#chikkalsandra-bengaluru_karnataka,10,14,5082,false
SOUBHAGYA STORE,12.9041912,77.5786627,150,10,10788,,delivery,560078#ilyasnagar-bengaluru_karnataka,10,14,5082,false
maasti fresh,12.9050542,77.5755006,130,5,10800,,delivery,560078#ilyasnagar-bengaluru_karnataka,10,14,5082,false
SIDDI VINAYAKA VEGETABLE SHOP& GROCERY STORE,13.0512023,77.5770311,156.28,18,7036,,delivery,560094#devinagar-bengaluru_karnataka,10,12,5086,false
Kumar provision store,13.0434279,77.5736782,151.15,14,6294,,delivery,560094#nagshettyhalli-bengaluru_karnataka,10,12,5086,false
N P STORE,13.0822025,77.5467204,55,4,9298,,delivery,560097#mspalya-bengaluru_karnataka,10,12,5086,false
LAKSHMI PROVISIONS STORE,13.1066051,77.4900012,260,10,9515,,delivery,560090#tharabanahalli-bengaluru_karnataka,10,12,5086,false
vinod store,13.058400353854454,77.55152933299541,91.07000000000001,10,7502,,delivery,560013#ramchandrapura-bengaluru_karnataka,10,12,5086,false
S L N rice Traders,13.043392,77.5736696,130,5,6258,,delivery,560094#nagshettyhalli-bengaluru_karnataka,10,12,5086,false
Bhyraveshwara Rice Traders,13.050873,77.567882,464,14,6354,,delivery,560094#devinagar-bengaluru_karnataka,10,12,5086,false
SHREYAS ENTERPRISES,13.0625351,77.5519979,81.39999999999999,9,7479,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,12,5086,false
PAWAN PROVISION STORES,13.0654407,77.5526615,280,10,9377,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,12,5086,false
Ashritha enterprises,13.0603902,77.5582592,279,16,9362,,delivery,560097#doddabommasandra-bengaluru_karnataka,10,,,false
Sri  Venkateswara Provision Stores,13.064923,77.5525067,155.10000000000002,13,7477,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,12,5086,false
LAKSHMI PROVISION STORE,13.125551523362983,77.51999225467443,160.5,8,9284,,delivery,560097#lakshmipura-bengaluru_karnataka,10,12,5086,false
Suresh Provision store,13.052799324465534,77.49390844255686,61.2,5,6666,,delivery,560073#manjunathnagar-bengaluru_karnataka,10,25,5083,false
A M Store,13.052655941149709,77.49362614005804,208,8,6711,,delivery,560073#manjunathnagar-bengaluru_karnataka,10,25,5083,false
SB SUPER MARKET,13.1011557,77.4019287,80,4,8316,,delivery,562123#arishinakunte-bengaluru_karnataka,10,25,5083,false
Ranganatha swamy traders,13.0358886,77.4840473,1746.9,87,5701,,delivery,560073#tippenahalli-bengaluru_karnataka,10,25,5083,false
sri Ragavendra provision store,13.0968738,77.3947264,186,9,10531,,delivery,562123#petebeedi-bengaluru_karnataka,10,25,5083,false
Sri maruthi provision store,13.0707261,77.422557,60,2,10963,,delivery,562123#arishinakunte-bengaluru_karnataka,10,25,5083,false
SM provison store,13.1004878,77.3907151,136,8,10544,,delivery,562123#petebeedi-bengaluru_karnataka,10,25,5083,false
Revannasiddeshwara provision store,13.040315,77.504731,182,7,6576,,delivery,560073#nelagadaranahalli-bengaluru_karnataka,10,25,5083,false
